titulo,url,descripcion,fecha,imagen,autor
"A la industria, tener un Milei trumpista no le alcanza",https://www.pagina12.com.ar/803859-a-la-industria-tener-un-milei-trumpista-no-le-alcanza,La cámara del acero pide acciones para revertir la suba de aranceles de Estados Unidos,2025-02-14T01:54:44-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/913424-13a-g0025440-archivo.JPG?itok=Tkvdfdo8,Raúl Dellatorre
El impacto en Argentina de los aranceles reciprocos anunciados por Donald Trump,https://www.pagina12.com.ar/803832-el-impacto-en-argentina-de-los-aranceles-reciprocos-anunciad,El sector siderúrgico sería uno de los principales afectados,2025-02-14T10:36:09-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/913441-13a-g0025440-archivo.JPG?itok=Xu6IwBmf,Axel Schwarzfeld
Desregulación para una británica,https://www.pagina12.com.ar/795563-desregulacion-para-una-britanica,Habilitación para prestar servicios de rampa en aeropuertos,2025-01-09T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/904142-4a-0.jpg?itok=ivv44PWj,
El avance de los autos eléctricos despierta el debate en la industria brasileña,https://www.pagina12.com.ar/796742-el-avance-de-los-autos-electricos-despierta-el-debate-en-la-,Empresas y sindicatos de cara a la reconfiguración de una industria central del país vecino,2025-01-19T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/905196-5a-6.jpg?itok=ILTktW1q,
"Los mercados, ante Trump",https://www.pagina12.com.ar/798209-los-mercados-ante-trump,"Esperan ""movimientos inestables y más volátiles""",2025-01-21T10:47:57-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/907056-13a1-g0029261-afp.jpg?itok=RbH7Hi8z,
Trump declara la emergencia energética y da vía libre al extractivismo,https://www.pagina12.com.ar/798792-trump-declara-la-emergencia-energetica-y-da-via-libre-al-ext,El republicano fomentará la producción de combustibles fósiles,2025-01-23T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/907783-dt-0.jpg?itok=_dDJ8z6V,
Efemérides de hoy: qué pasó un 23 de enero,https://www.pagina12.com.ar/798266-efemerides-de-hoy-que-paso-un-23-de-enero,Hechos que ocurrieron en la Argentina y el mundo,2025-01-23T10:40:58-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/894987-nicanor-20parra.jpg?itok=3yg3nil1,
El país de Milei: profesionales que manejan Uber y pedalean sin parar para comer,https://www.pagina12.com.ar/795717-el-pais-de-milei-profesionales-que-manejan-uber-y-pedalean-s,La vara de expectativas cada vez más baja,2025-01-09T14:06:21-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/904340-uber_0.jpg?itok=n4uBZHhN,Agustín Gulman
Bajan las retenciones a exportaciones del agro,https://www.pagina12.com.ar/799090-bajan-las-retenciones-a-exportaciones-del-agro,Rebaja temporal de derechos de exportación por la urgencia de divisas,2025-01-24T12:23:23-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/908137-9a-g0013876-sin-20credito.JPG?itok=iRuNDhKV,
China y DeepSeek dieron un golpe sobre la mesa: crónica de una batalla por la hegemonía tecnológica,https://www.pagina12.com.ar/800217-china-y-deepseek-dieron-un-golpe-sobre-la-mesa-cronica-de-un,La disputa por la inteligencia artificial,2025-01-30T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/909395-8c3da93eced0de060c9d96c10569884f5fd59b30w_0.jpg?itok=O_uCdEm5,
Durísimo contra Powell,https://www.pagina12.com.ar/800576-durisimo-contra-powell,Trump vs. Reserva Federal,2025-01-31T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/909839-13a1-efe.jpg?itok=FAHnw76A,
"Víctor Hugo, lapidario con Milei y Lilia Lemoine: ""Chilindrina de la política""",https://www.pagina12.com.ar/801490-victor-hugo-lapidario-con-milei-y-lilia-lemoine-chilindrina-,"El periodista calificó de ""servil"" al Presidente",2025-02-04T09:45:20-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-02/910844-lilia_0.jpg?itok=4_fsMiZh,
Efemérides de hoy: qué pasó un 2 de enero,https://www.pagina12.com.ar/794120-efemerides-de-hoy-que-paso-un-2-de-enero,Hechos que ocurrieron en la Argentina y el mundo,2025-01-02T10:36:03-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/893049-john-berger-2009-1-0.jpg?itok=ZE4zew-C,
La uberización se expande,https://www.pagina12.com.ar/794293-la-uberizacion-se-expande,Disputar el potencial de la IA en pos de dignificar el trabajo,2025-01-05T00:01:00-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/900735-290455-uber-0.jpg?itok=Yt64LbYD,
Efemérides de hoy: qué pasó un 6 de enero,https://www.pagina12.com.ar/794900-efemerides-de-hoy-que-paso-un-6-de-enero,Hechos que ocurrieron en la Argentina y el mundo,2025-01-06T11:33:11-03:00,https://images.pagina12.com.ar/styles/focal_3_2_470x313/public/2025-01/893544-686281-whatsapp-20image-202023-01-06-20at-2018-20-59_0.jpeg?itok=2RRa8CyX,
